出発地のノード番号,到着側のノード番号,ウェイの距離[m]
17481,17480,10.55
17480,17479,11.92
17479,17478,61.62
17478,17477,6.24
17477,17476,4.73
17476,17475,6.73
17475,17474,40.92
17474,17473,12.04
17473,17472,13.56
17472,17471,9.05
17471,17470,8.91
17470,17469,6.42
17469,17468,71.39
17468,17467,3.27
17467,17466,6.26
17466,17465,3.99
17465,17464,104.58
17464,17463,11.21
17463,17462,5.51
17462,17461,15.69
17461,17460,12.44
17460,17459,52.95
17459,17458,7.7
13905,13908,5.13
13908,13912,20.29
13912,13916,23.37
13916,13921,44.9
13921,13931,19.78
13931,13933,8.49
13933,13937,13.79
13937,13943,10.28
13943,13962,30.87
13962,14011,18.25
14011,14015,10.9
14015,14017,17.88
14017,14014,27.55
14014,14025,14.91
14025,14035,14.56
14035,14047,37.68
16262,16263,13.1
16263,16266,10.37
16266,16268,12.44
16268,16275,13.01
16275,16283,46.56
16283,16286,10.72
16286,16292,32.64
16292,16301,17.09
16301,16307,17.88
16307,16316,24.1
16316,16321,15.74
16321,16325,13.38
16325,16329,18.7
16329,16342,20.04
16342,16350,15.76
16350,16377,32.43
16377,16384,13.56
15531,15515,36.72
15515,15436,26.57
15436,15394,12.45
15394,15385,39.97
15385,15371,13.76
15371,15353,45.68
15353,15337,29.57
15337,15329,41.64
15329,15297,185.15
15297,15232,37.12
15338,15335,20.51
15335,15333,15.94
15333,15331,21.74
15331,15327,13.5
15327,15326,43.08
15326,15324,22.41
15324,15285,17.07
15285,15276,198.22
15276,15232,104.22
14536,21101,10.92
21101,21103,7.53
21103,14517,14.8
14517,14470,6.43
14470,14452,14.62
14452,14450,7.92
14450,14449,15.52
14449,21100,13.81
21100,14446,12.15
14446,14443,21.31
14443,5429,8.18
5429,14413,10.62
14413,14435,13.18
14435,14442,22.13
14442,14439,3.33
14439,21099,5.69
21099,14412,9.56
14412,21098,2.31
21098,21093,24.97
21093,5430,6.91
5430,14380,16.08
14380,14374,7.11
14374,14371,14.62
14371,14351,9.53
14351,14349,8.87
14349,14341,11.33
14341,14336,17.8
13922,13953,108.36
14045,14034,59.4
16290,16294,23.07
14576,14589,54.44
14589,14638,179.38
14638,14664,117.26
14375,14372,35.88
14372,14315,85.27
14551,14553,28.47
13486,4064,28.87
14866,14735,111.46
23115,23113,24.65
3868,14044,12.13
14044,13903,242.44
13903,3756,94.96
3756,3757,212.99
14053,14047,22.93
13953,13843,174.08
13903,3759,86.57
3759,3758,47.1
3758,13852,8.42
14621,14622,47.65
14110,14107,26.54
14107,14100,11.74
14100,14090,20.68
14090,14082,21.31
14082,14074,13.09
14074,14065,27.26
14065,14058,12.27
14058,14046,27.47
14046,14043,10.51
14043,14036,28.12
14036,14024,15.64
14024,14020,7.92
14020,14010,20.51
14010,13973,10.05
13973,13934,51.79
13934,13924,11.01
13924,13918,9.72
13918,13911,17.99
13911,13905,23.27
14547,14556,20.39
14556,14572,46.66
14572,21112,15.79
21112,21113,10.92
21113,14581,16.68
14581,21114,26.84
