ノード番号,緯度,経度,3次メッシュID
17939,36.5784411,137.2083053,54376196
17940,36.57302,137.155359,54376182
17941,36.5730383,137.1771355,54376184
17942,36.5783726,137.2016381,54376196
17943,36.573028,137.143755,54376181
17944,36.6085785,137.2867426,54377232
17945,36.57305,137.155327,54376182
17946,36.6847286,137.2159137,5537127
17947,36.573072,137.117353,54376089
17948,36.573073,137.125215,54376180
17949,36.6848042,137.2119893,5537126
17950,36.573089,137.143398,54376181
17951,36.7232236,137.1201815,5537069
17952,36.7232132,137.122448,5537069
17953,36.573117,137.117444,54376089
17954,36.573117,137.125719,54376180
17955,36.7121077,137.1541236,5537152
17956,36.573124,137.125023,54376180
17957,36.7121381,137.1396713,5537151
17958,36.6086891,137.2865608,54377232
17959,36.6087233,137.2596644,54377230
17960,36.573151,137.12488,54376089
17961,36.573151,137.143225,54376181
17962,36.712386,137.1521855,5537152
17963,36.7125346,137.15323,5537152
17964,36.6088904,137.2876819,54377233
17965,36.7124968,137.1502214,5537152
17966,36.6087347,137.2522669,54377230
17967,36.573196,137.136179,54376180
17968,36.573202,137.14312,54376181
17969,36.7124608,137.1485007,5537151
17970,36.573202,137.157642,54376182
17971,36.573213,137.117737,54376089
17972,36.7124978,137.1495739,5537151
17973,36.712561,137.1471106,5537151
17974,36.57323,137.157628,54376182
17975,36.6088012,137.2569172,54377230
17976,36.5733114,137.1353881,54376180
17977,36.7121349,137.1626749,5537153
17978,36.7128,137.1542967,5537152
17979,36.6088781,137.268004,54377231
17980,36.6089885,137.2521466,54377230
17981,36.573279,137.11803,54376089
17982,36.7127353,137.1629989,5537153
17983,36.7127754,137.144288,5537151
17984,36.7128648,137.1549256,5537152
17985,36.57329,137.157623,54376182
17986,36.7128162,137.1569319,5537152
17987,36.7128093,137.1576704,5537152
17988,36.573309,137.157621,54376182
17989,36.712835,137.1553885,5537152
17990,36.57332,137.155069,54376182
17991,36.6089732,137.2680875,54377231
17992,36.6667957,137.198259,553715
17993,36.573331,137.142917,54376181
17994,36.7128449,137.1555488,5537152
17995,36.6668482,137.1932263,553715
17996,36.573335,137.125837,54376180
17997,36.6852616,137.2157699,5537127
17998,36.573336,137.120157,54376089
17999,36.6089378,137.2593564,54377230
18000,36.573342,137.11978,54376089
18001,36.573343,137.123896,54376089
18002,36.573355,137.125038,54376180
18003,36.7129217,137.1631045,5537153
18004,36.7128474,137.1580757,5537152
18005,36.7128575,137.1304134,5537150
18006,36.573369,137.120575,54376089
18007,36.7129681,137.1419532,5537151
18008,36.6090832,137.2968138,54377233
18009,36.573383,137.139639,54376181
18010,36.6888664,137.21328,5537127
18011,36.573398,137.120735,54376089
18012,36.6854241,137.2513225,5537220
18013,36.573411,137.142792,54376181
18014,36.573421,137.118714,54376089
18015,36.7131366,137.1398491,5537151
18016,36.573422,137.12345,54376089
18017,36.573432,137.119131,54376089
18018,36.6089886,137.2862582,54377232
18019,36.573438,137.121043,54376089
18020,36.573443,137.118923,54376089
18021,36.5734975,137.1355598,54376180
18022,36.573478,137.154964,54376182
18023,36.573483,137.121309,54376089
18024,36.7133357,137.1633514,5537153
18025,36.573506,137.12292,54376089
18026,36.6091861,137.2882676,54377233
18027,36.573517,137.121609,54376089
18028,36.573527,137.125958,54376180
18029,36.573529,137.121992,54376089
18030,36.7134961,137.1605767,5537152
18031,36.573534,137.139598,54376181
18032,36.573534,137.122578,54376089
18033,36.7134835,137.1353533,5537150
18034,36.6092334,137.2520273,54377230
18035,36.6855986,137.2219724,5537127
18036,36.7135822,137.1609204,5537152
18037,36.573557,137.142596,54376181
18038,36.6092482,137.2570722,54377230
18039,36.7233537,137.1226454,5537069
18040,36.6093049,137.2892418,54377233
18041,36.6857278,137.2120742,5537126
18042,36.7136609,137.1329889,5537150
18043,36.5737269,137.1357638,54376180
18044,36.6859989,137.2144734,5537127
18045,36.573748,137.139598,54376181
18046,36.6860207,137.2136371,5537127
18047,36.6093801,137.2903045,54377233
18048,36.6860363,137.2152133,5537127
18049,36.7136964,137.1306081,5537150
18050,36.6860848,137.2164311,5537127
18051,36.6861029,137.2129496,5537127
18052,36.609419,137.2967951,54377233
18053,36.6861128,137.2172867,5537127
18054,36.6861301,137.212743,5537127
18055,36.573797,137.126129,54376180
18056,36.6861386,137.2179184,5537127
18057,36.6094769,137.2857997,54377232
18058,36.573816,137.139612,54376181
18059,36.7233549,137.1061218,5537068
18060,36.6861643,137.21886,5537127
18061,36.7138454,137.1306662,5537150
18062,36.6094838,137.2858152,54377232
18063,36.6862436,137.2210051,5537127
18064,36.6862195,137.2203316,5537127
18065,36.7138279,137.1619325,5537152
18066,36.5738903,137.1359162,54376180
18067,36.7141565,137.1307932,5537150
18068,36.6095315,137.2571375,54377230
18069,36.573917,137.12501,54376180
18070,36.573919,137.12625,54376180
18071,36.7141343,137.1399947,5537151
18072,36.6096087,137.2921003,54377233
18073,36.6094734,137.2683076,54377231
18074,36.7143264,137.1308672,5537150
18075,36.574002,137.15479,54376182
18076,36.5792688,137.2198592,54376197
18077,36.7144881,137.1473515,5537151
18078,36.7145436,137.1400668,5537151
18079,36.7148081,137.131004,5537150
18080,36.574045,137.126463,54376180
18081,36.6097869,137.2837803,54377232
18082,36.57408,137.124976,54376089
18083,36.7147403,137.1401174,5537151
18084,36.7147027,137.1574556,5537152
18085,36.609596,137.2518447,54377230
18086,36.715004,137.1310289,5537150
18087,36.7149102,137.1574923,5537152
18088,36.574098,137.141913,54376181
18089,36.7151436,137.1310444,5537150
18090,36.715064,137.157516,5537152
18091,36.7152727,137.1575432,5537152
18092,36.6871894,137.2709368,5537221
18093,36.6097928,137.2855963,54377232
18094,36.574165,137.122969,54376089
18095,36.574171,137.122655,54376089
18096,36.574173,137.124572,54376089
18097,36.5793265,137.2087618,54376196
18098,36.5792614,137.2225282,54376197
18099,36.7152861,137.1403897,5537151
18100,36.574188,137.123227,54376089
18101,36.574189,137.124727,54376089
18102,36.7153068,137.1310539,5537150
18103,36.574195,137.124363,54376089
18104,36.6100129,137.2580983,54377230
18105,36.7153676,137.1310542,5537150
18106,36.5793627,137.2081511,54376196
18107,36.574222,137.124855,54376089
18108,36.574228,137.122386,54376089
18109,36.7083197,137.1888959,5537145
18110,36.574254,137.12412,54376089
18111,36.574255,137.154609,54376182
18112,36.574261,137.123603,54376089
18113,36.6098483,137.2517453,54377230
18114,36.715648,137.140553,5537151
18115,36.574278,137.157488,54376182
18116,36.574276,137.123878,54376089
18117,36.715795,137.140578,5537151
18118,36.5741127,137.1397171,54376181
18119,36.6099369,137.2828643,54377232
18120,36.574324,137.121992,54376089
